Crop,Season,State,Annual_Rainfall,Fertilizer,Pesticide
Arecanut,Whole Year ,Assam,2051.4,7024878.38,22882.34
Arhar/Tur,Kharif     ,Assam,2051.4,631643.29,2057.47
Castor seed,Kharif     ,Assam,2051.4,75755.32,246.76
Coconut ,Whole Year ,Assam,2051.4,1870661.52,6093.36
Cotton(lint),Kharif     ,Assam,2051.4,165500.63,539.09
Dry chillies,Whole Year ,Assam,2051.4,1293074.79,4211.97
Gram,Rabi       ,Assam,2051.4,283511.43,923.49
Jute,Kharif     ,Assam,2051.4,8995468.4,29301.2
Linseed,Rabi       ,Assam,2051.4,961026.66,3130.38
Maize,Kharif     ,Assam,2051.4,1828786.72,5956.96
Mesta,Kharif     ,Assam,2051.4,562930.55,1833.65
Niger seed,Whole Year ,Assam,2051.4,943515.38,3073.34
Onion,Whole Year ,Assam,2051.4,745371.44,2427.92
Other  Rabi pulses,Rabi       ,Assam,2051.4,10306625.49,33572.07
Potato,Whole Year ,Assam,2051.4,7162399.03,23330.29
Rapeseed &Mustard,Rabi       ,Assam,2051.4,26580219.64,86580.52
Rice,Autumn     ,Assam,2051.4,57802260.86,188280.98
Rice,Summer     ,Assam,2051.4,16652275.58,54241.94
Rice,Winter     ,Assam,2051.4,165911859.6,540429.51
Sesamum,Whole Year ,Assam,2051.4,1500355.05,4887.15
Small millets,Kharif     ,Assam,2051.4,998333.3,3251.9
Sugarcane,Kharif     ,Assam,2051.4,2980534.06,9708.58
Sweet potato,Whole Year ,Assam,2051.4,892694.6,2907.8
Tapioca,Whole Year ,Assam,2051.4,234594.05,764.15
Tobacco,Whole Year ,Assam,2051.4,41208.61,134.23
Turmeric,Whole Year ,Assam,2051.4,958457.07,3122.01
Wheat,Rabi       ,Assam,2051.4,8060708.66,26256.38
Arecanut,Whole Year ,Karnataka,1266.7,8860327,28861
Arhar/Tur,Kharif     ,Karnataka,1266.7,40143657.7,130761.1
Bajra,Kharif     ,Karnataka,1266.7,28660350.33,93356.19
Bajra,Summer     ,Karnataka,1266.7,78039.4,254.2
Black pepper,Kharif     ,Karnataka,1266.7,364025.25,1185.75
Cardamom,Whole Year ,Karnataka,1266.7,2020459.1,6581.3
Coriander,Whole Year ,Karnataka,1266.7,1648058.89,5368.27
Dry chillies,Kharif     ,Karnataka,1266.7,17756723.43,57839.49
Dry chillies,Rabi       ,Karnataka,1266.7,434451.05,1415.15
Garlic,Whole Year ,Karnataka,1266.7,481655.37,1568.91
Ginger,Kharif     ,Karnataka,1266.7,344420.23,1121.89
Groundnut,Kharif     ,Karnataka,1266.7,80672373.22,262776.46
Groundnut,Rabi       ,Karnataka,1266.7,18312230.72,59648.96
Horse-gram,Kharif     ,Karnataka,1266.7,17023248.24,55450.32
Horse-gram,Rabi       ,Karnataka,1266.7,15529174.41,50583.63
Jowar,Kharif     ,Karnataka,1266.7,37086797.3,120803.9
Jowar,Rabi       ,Karnataka,1266.7,142866539.2,465363.32
Jowar,Summer     ,Karnataka,1266.7,584058.29,1902.47
Maize,Kharif     ,Karnataka,1266.7,47851190.49,155867.07
Maize,Rabi       ,Karnataka,1266.7,4648483.48,15141.64
Maize,Summer     ,Karnataka,1266.7,926004.1,3016.3
Ragi,Kharif     ,Karnataka,1266.7,85455141.57,278355.51
Ragi,Rabi       ,Karnataka,1266.7,2579487.68,8402.24
Ragi,Summer     ,Karnataka,1266.7,1286793.57,4191.51
